iter	Accuracy	Logloss
261	0.9880562781	0.048415555
262	0.9882520769	0.04821928804
263	0.9883639618	0.04802655108
264	0.9884478756	0.04792651271
265	0.9886996168	0.04779188834
266	0.9886157031	0.04770833104
267	0.9886436743	0.04752813157
268	0.9887835305	0.04737281482
269	0.989063243	0.04706155207
270	0.989175128	0.04693708485
271	0.9892590417	0.04684739293
272	0.9893149842	0.04677825061
273	0.9893988979	0.04658513698
274	0.9895107829	0.04642500471
275	0.9896506391	0.04598971015
276	0.9896506391	0.04593595333
277	0.9896786104	0.04586286007
278	0.9896506391	0.04572933403
279	0.9896226679	0.045568069
280	0.9896786104	0.04552504059
281	0.9897625241	0.04532011566
282	0.9896786104	0.04518719961
283	0.9897904954	0.04505173947
284	0.9897904954	0.04470922221
285	0.9898184666	0.04451621491
286	0.9898744091	0.04435019565
287	0.9899862941	0.04417733631
288	0.9901820928	0.04396936955
289	0.9902380353	0.04380358672
290	0.9902939778	0.04368261543
291	0.9903499203	0.04355125851
292	0.990433834	0.04327062279
293	0.9905177478	0.04317748023
294	0.990545719	0.04309694088
295	0.990545719	0.04290208638
296	0.9903778915	0.04240913464
297	0.990433834	0.04232764868
298	0.9906296327	0.04210944807
299	0.9907135465	0.04198605139
300	0.9907415177	0.04184688579
301	0.9909093452	0.04174595741
302	0.9908254315	0.04169125305
303	0.9908254315	0.04153368884
304	0.9908534027	0.04148693107
305	0.9909652877	0.04138133942
306	0.9911890576	0.04111397845
307	0.9912170289	0.04097934492
308	0.9912729714	0.04086025727
309	0.9913289139	0.0408110906
310	0.9913289139	0.04070334863
311	0.9913009426	0.0405396173
312	0.9913848564	0.04047767345
313	0.9914687701	0.04035948938
314	0.9915247126	0.04028179385
315	0.9915806551	0.04016399622
316	0.9916925401	0.03994619021
317	0.9917205113	0.03970525735
318	0.9917764538	0.0394504417
319	0.9917484826	0.03929529647
320	0.9916925401	0.03910023494
321	0.9917764538	0.03899838547
322	0.9918044251	0.03886292766
323	0.9920841375	0.03870977317
324	0.9921121088	0.03863886542
325	0.9922239937	0.03846591504
326	0.992251965	0.03826975207
327	0.9923079075	0.03816316461
328	0.99236385	0.03810739073
329	0.9923358787	0.03795236433
330	0.9924197925	0.03780094977
331	0.9924197925	0.03774061036
332	0.99236385	0.03770218019
333	0.9922239937	0.03747895929
334	0.9924197925	0.03740780434
335	0.9924757349	0.03733916352
336	0.9925876199	0.03727270585
337	0.9925037062	0.03720863565
338	0.9926155912	0.03703082344
339	0.9927274762	0.03694606558
340	0.9927554474	0.03683194339
341	0.9927554474	0.03668695344
342	0.9927834186	0.03662851424
343	0.9927834186	0.03655213595
344	0.9928953036	0.03644939232
345	0.9927834186	0.03635513811
346	0.9929232749	0.03627143949
347	0.9929792174	0.0361134908
348	0.9929512461	0.03598598987
349	0.9929792174	0.03594742458
350	0.9930911023	0.0357828021
351	0.9930631311	0.03568929968
352	0.9931470448	0.03560292158
353	0.9932029873	0.03540539598
354	0.9933148723	0.03532714569
355	0.9934547285	0.03522041833
356	0.9935386423	0.03511317452
357	0.9935666135	0.03508350732
358	0.9936784985	0.03480586227
359	0.9937624122	0.03473273679
360	0.9937624122	0.03460277802
361	0.9939302397	0.03446854999
362	0.9940421247	0.03438937451
363	0.9940980672	0.03431758997
364	0.9940980672	0.03422475273
365	0.9942379234	0.03406658693
366	0.9942658947	0.03389769884
367	0.9943498084	0.03386806698
368	0.9943498084	0.03377559768
369	0.9943777796	0.03362977208
370	0.9944616934	0.03351853151
371	0.9944616934	0.03346083983
372	0.9945176359	0.03342430778
373	0.9946295209	0.03332043131
374	0.9945456071	0.03318143456
375	0.9945176359	0.03310118195
376	0.9945735784	0.03284728297
377	0.9946574921	0.03271795768
378	0.9946295209	0.03265432494
379	0.9946854633	0.03261492933
380	0.9946854633	0.03243372835
381	0.9946854633	0.03238590259
382	0.9946574921	0.03233230438
383	0.9947134346	0.03223827686
384	0.9947693771	0.03216562404
385	0.9947973483	0.03211385685
386	0.9948253196	0.0320786682
387	0.9948532908	0.03205128123
388	0.9949372046	0.0320201793
389	0.9950211183	0.03185845854
390	0.9951609745	0.03165717824
391	0.9951609745	0.03162965188
392	0.9951609745	0.03149758016
393	0.995105032	0.03136246835
394	0.9951330033	0.03134001813
395	0.9951609745	0.0313155777
396	0.9951609745	0.03112867561
397	0.9951330033	0.03091127376
398	0.9951330033	0.03088323189
399	0.995216917	0.03080293187
400	0.9953008307	0.0307002544
401	0.995328802	0.03055881301
402	0.995440687	0.03037805882
403	0.995440687	0.03035327246
404	0.995440687	0.03026919545
405	0.9954686582	0.03019975829
406	0.9954966295	0.03016342558
407	0.9954966295	0.0301141122
408	0.995552572	0.02998247876
409	0.9956085144	0.02990701278
410	0.9955805432	0.02983727812
411	0.9955805432	0.02979364295
412	0.9955805432	0.02965934402
413	0.9956364857	0.02924478711
414	0.9957483707	0.0291421708
415	0.9957203994	0.02906501922
416	0.9958043132	0.02895667355
417	0.9958043132	0.02869769252
418	0.9958602557	0.02862905411
419	0.9957483707	0.0285173977
420	0.9958602557	0.02837975005
421	0.9958882269	0.02832046751
422	0.9959441694	0.02826223517
423	0.9959721406	0.02812714858
424	0.9959721406	0.02810670296
425	0.9959721406	0.02808069331
426	0.9960001119	0.02793883566
427	0.9961399681	0.02784736898
428	0.9960840256	0.02780947308
429	0.9960840256	0.0277642721
430	0.9961959106	0.02761877264
431	0.9961959106	0.02759013201
432	0.9961959106	0.02747752764
433	0.9962238818	0.02736832015
434	0.9963077956	0.02730739811
435	0.9962798243	0.0272389547
436	0.9963357668	0.02719549105
437	0.9963357668	0.0271679785
438	0.9964196806	0.02704668988
439	0.9963917093	0.02701914066
440	0.9963917093	0.02700457379
441	0.9963357668	0.02689692497
442	0.9962798243	0.02669329169
443	0.9964196806	0.02658497121
444	0.9964476518	0.02651688226
445	0.9966154793	0.02641628234
446	0.9966434505	0.02630903281
447	0.9966434505	0.02629572394
448	0.9966434505	0.02622005176
449	0.996699393	0.02614937964
450	0.9967273643	0.02610440168
451	0.9967833068	0.02606676301
452	0.996811278	0.02598605164
453	0.996811278	0.02596824905
454	0.9968392493	0.02588174599
455	0.9968672205	0.02579089402
456	0.9968392493	0.02565838514
457	0.9968392493	0.02558125787
458	0.9968672205	0.0255156055
459	0.997035048	0.02539256617
460	0.9970630192	0.02537476146
461	0.9970630192	0.02535523771
462	0.9970630192	0.02531613063
463	0.997146933	0.02525352377
464	0.997146933	0.02516830994
465	0.9972028754	0.0250770997
466	0.9973427317	0.02501692839
467	0.9972867892	0.02495322444
468	0.9972588179	0.02487428937
469	0.9973147604	0.02476168423
470	0.9973986742	0.02471810166
471	0.9973986742	0.02466029496
472	0.9974266454	0.02460933741
473	0.9974546167	0.02457293076
474	0.9974825879	0.02455352587
475	0.9974825879	0.02452463117
476	0.9975105591	0.02449481471
477	0.9975385304	0.02435722228
478	0.9975385304	0.02433261143
479	0.9975105591	0.0242508958
480	0.9975385304	0.02398330341
481	0.9975665016	0.02385828254
482	0.9975385304	0.02384164077
483	0.9975944729	0.0237850778
484	0.9976783866	0.02366853147
485	0.9977343291	0.02359393385
486	0.9977623004	0.02356490589
487	0.9977343291	0.02351595726
488	0.9977343291	0.02331562058
489	0.9977343291	0.02327688368
490	0.9977902716	0.02322847227
491	0.9978741853	0.02316258115
492	0.9978462141	0.0231163738
493	0.9979021566	0.02303848165
494	0.9979021566	0.02298864055
495	0.9979021566	0.02285386526
496	0.9978741853	0.02280605212
497	0.9979301278	0.02272972712
498	0.9979860703	0.02268512985
499	0.9980140416	0.02266987763
500	0.9979860703	0.02258098105
501	0.9980140416	0.02255769875
502	0.9980140416	0.02247922387
503	0.9979860703	0.02243414386
504	0.9980420128	0.02239593855
505	0.9980140416	0.02223709078
506	0.9979860703	0.02219327126
507	0.9980699841	0.02208336217
508	0.9980420128	0.02183852577
509	0.9980699841	0.02177682275
510	0.9981259265	0.02173416401
511	0.9981259265	0.02164672386
512	0.9981259265	0.02156191525
513	0.9980979553	0.02148207188
514	0.9980979553	0.02146245616
515	0.9981538978	0.02140927186
516	0.9980979553	0.02135976574
517	0.9980699841	0.02130601459
518	0.9980979553	0.02123049021
519	0.9980979553	0.02118294718
520	0.9980420128	0.02114200044
521	0.9980699841	0.02112787898
522	0.9981259265	0.02104263218
